Post_ID,Dominant_Topic,Topic_Proportion,Topics
57803657,8,0.997635,8(0.997635) 2(0.000479) 5(0.000446) 4(0.000438) 0(0.000400) 7(0.000156) 6(0.000125) 1(0.000120) 9(0.000110) 3(0.000092)
57808811,8,0.437174,8(0.437174) 9(0.256391) 0(0.124137) 1(0.114706) 4(0.065982) 5(0.000718) 3(0.000487) 7(0.000287) 6(0.000074) 2(0.000044)
57814264,7,0.707715,7(0.707715) 2(0.139695) 3(0.062927) 4(0.053894) 5(0.034498) 0(0.000472) 6(0.000282) 8(0.000256) 1(0.000152) 9(0.000110)
57826430,0,0.796623,0(0.796623) 1(0.095884) 5(0.083360) 2(0.023386) 8(0.000264) 7(0.000168) 3(0.000110) 6(0.000078) 9(0.000078) 4(0.000049)
57833890,6,0.328867,6(0.328867) 0(0.318014) 2(0.277289) 4(0.072704) 7(0.001137) 8(0.000701) 1(0.000618) 5(0.000250) 3(0.000233) 9(0.000188)
57836235,1,0.789962,1(0.789962) 6(0.188023) 0(0.010176) 4(0.004594) 7(0.001682) 8(0.001440) 5(0.001346) 3(0.001164) 2(0.000989) 9(0.000624)
57836518,6,0.541320,6(0.541320) 9(0.361291) 2(0.089844) 0(0.002556) 4(0.001771) 1(0.001513) 7(0.001063) 3(0.000336) 8(0.000224) 5(0.000081)
57836990,8,0.723947,8(0.723947) 4(0.265476) 1(0.006488) 9(0.002529) 0(0.000451) 7(0.000371) 3(0.000274) 5(0.000201) 2(0.000183) 6(0.000079)
57842609,0,0.441356,0(0.441356) 1(0.256167) 2(0.224100) 7(0.040622) 4(0.036107) 9(0.000544) 3(0.000400) 8(0.000393) 5(0.000163) 6(0.000148)
57878111,3,0.624183,3(0.624183) 7(0.293085) 5(0.080683) 0(0.000596) 4(0.000495) 9(0.000355) 1(0.000229) 8(0.000229) 6(0.000087) 2(0.000059)
57887433,8,0.697610,8(0.697610) 1(0.146266) 2(0.125980) 0(0.021251) 4(0.007092) 3(0.000658) 6(0.000392) 7(0.000307) 9(0.000251) 5(0.000192)
